status,occurrence_key,institutionCode,family,species,license,width,height,dorsal_score,raw_path,skeleton_path,url
accepted,2446314989,NHMUK,Papilionidae,Troides helena,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7929,0.3626,0.9980,0.9971,0.0000,0.0047,museum_butterfly_dorsal/raw_images/nhmuk_2446314989.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314989_skeleton.png,https://data.nhm.ac.uk/media/04822cc8-bf82-4548-ba50-c53150fbc49c
accepted,2446090953,NHMUK,Papilionidae,Ornithoptera aesacus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7551,0.3105,0.9961,0.9971,0.0020,0.0004,museum_butterfly_dorsal/raw_images/nhmuk_2446090953.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446090953_skeleton.png,https://data.nhm.ac.uk/media/9d8c768d-ed9f-471b-bee1-8bbffaf962df
accepted,2446312458,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8373,0.3542,0.9980,0.9971,0.0000,0.0027,museum_butterfly_dorsal/raw_images/nhmuk_2446312458.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312458_skeleton.png,https://data.nhm.ac.uk/media/95645ac9-ef1d-44f3-b978-f35c749bf59e
accepted,2446312741,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8190,0.3302,0.9980,0.9971,0.0000,0.0059,museum_butterfly_dorsal/raw_images/nhmuk_2446312741.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312741_skeleton.png,https://data.nhm.ac.uk/media/bab82ecf-1d88-4c56-87d3-47da72f9e0aa
accepted,2446314939,NHMUK,Papilionidae,Troides helena,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7792,0.3658,0.9980,0.9971,0.0000,0.0036,museum_butterfly_dorsal/raw_images/nhmuk_2446314939.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314939_skeleton.png,https://data.nhm.ac.uk/media/18d569dc-bba9-4ec7-9887-137d804282c1
accepted,2446314960,NHMUK,Papilionidae,Troides helena,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8172,0.4226,0.9980,0.9971,0.0000,0.0092,museum_butterfly_dorsal/raw_images/nhmuk_2446314960.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314960_skeleton.png,https://data.nhm.ac.uk/media/6a21b579-6e4e-46b0-a050-6f48f422630b
reject_not_dorsal,1291305507,NHMUK,Papilionidae,Papilio machaon,http://creativecommons.org/licenses/by/4.0/,1440,2160,0.2722,0.4111,0.9971,0.9980,0.0000,0.0028,,,https://data.nhm.ac.uk/media/ad90e9f6-1753-457a-af8e-827c543df37e
accepted,2446312268,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8145,0.3015,0.9980,0.9971,0.0000,0.0024,museum_butterfly_dorsal/raw_images/nhmuk_2446312268.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312268_skeleton.png,https://data.nhm.ac.uk/media/41166617-7382-41a3-ba7b-b28c0d7f0a0a
accepted,2446312733,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8473,0.3505,0.9980,0.9971,0.0000,0.0006,museum_butterfly_dorsal/raw_images/nhmuk_2446312733.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312733_skeleton.png,https://data.nhm.ac.uk/media/31bbecff-924e-49a5-91b5-f679a0369eb7
reject_not_dorsal,4910266604,NHMUK,Papilionidae,Papilio fuscus,http://creativecommons.org/licenses/by/4.0/,1440,1080,0.5993,0.3090,0.9980,0.9974,0.0000,0.0070,,,https://data.nhm.ac.uk/media/001942a7-99ff-41bc-9cb1-83f4d2e9ba7b
